job_title,job_description,skill_requirements
Marketing Coordinator,"Job descriptionA leading real estate firm in New Jersey is seeking an administrative Marketing Coordinator with some experience in graphic design. You will be working closely with our fun, kind, ambitious members of the sales team and our dynamic executive team on a daily basis. This is an opportunity to be part of a fast-growing, highly respected real estate brokerage with a reputation for exceptional marketing and extraordinary culture of cooperation and inclusion.Who you are:You must be a wel","Adobe Creative Cloud, InDesign, Illustrator, Photoshop, Microsoft Office Suite, 组织能力, 创造力, 主动性, 积极性, 责任心, 尊重他人, 抗压能力, 品牌策略, 社交媒体管理, 视频制作, 在线广告, 印刷品设计, 活动策划, 供应商管理, 沟通能力, 团队合作"
Mental Health Therapist/Counselor,"At Aspen Therapy and Wellness , we are committed to serving clients with best practices to help them with change, improvements and better quality of life. We believe in providing a secure, supportive environment to grow as a clinician and learn how to foster longevity in the career which is part of our mission statement.
Thank you for taking the time to explore a career with us. We are excited to be a new group practice in the community. If you are looking for quality supervision as you work tow","心理治疗技术, 心理评估, 治疗计划制定, 危机干预, 病例管理, 心理创伤治疗, EMDR疗法, 沟通能力, 同理心, 团队合作, 临床文档管理, 电子健康记录系统使用, 心理诊断, 心理治疗干预, 病例展示, 监督接受能力, 专业发展, 多元文化敏感性, 社会包容意识"
Assitant Restaurant Manager,"The National Exemplar is accepting applications for an Assistant Restaurant Manager.
We offer highly competitive wages, healthcare, paid time off, complimentary dining privileges and bonus opportunities. 
We are a serious, professional, long-standing neighborhood restaurant with over 41 years of service. If you are looking for a long-term fit with a best in class organization then you should apply now. 
Please send a resumes to pardom@nationalexemplar.com. o","团队合作, 领导力, 沟通能力, 餐厅管理, 客户服务"
Senior Elder Law / Trusts and Estates Associate Attorney,"Senior Associate Attorney - Elder Law / Trusts and Estates  Our legal team is committed to providing each client with quality counsel, innovative solutions, and personalized service. Founded in 2000, the firm offers the legal expertise of its 115+ attorneys, who have accumulated experience and problem-solving skills over decades of practice.
We are a prominent Lake Success Law Firm seeking an associate attorney for its growing Elder Law and Estate Planning practice. The successful candidate will","Estate Planning, Trust Administration, Estate Administration, Medicaid Planning, Asset Protection, Drafting Legal Documents, Court Appearances, Legal Counseling, Analytical Skills, Problem-solving, Client Rapport, Written Communication, Verbal Communication, Teamwork, Self-motivation, Detail-oriented, Supervising Paralegals, Elder Law, Trusts and Estates, Estate Litigation, Advance Directives, Wills Drafting, Powers of Attorney, Health Care Proxies, Living Wills"
 Service Technician,"Looking for HVAC service tech with experience in commerical and industrial equipment. Minimum 5 yrs. on the job with mechanical license. Winger is a full line union mechanical business with Piping, plumbing, sheet metal and service.","HVAC维修, 商业设备维护, 工业设备维护, 机械执照, 管道工程, 管道安装, 钣金加工, 服务技能"
Economic Development and Planning Intern,"Job summary:The Economic Development & Planning Intern will provide valuable support to the Economic Development & Planning team, with a specific focus on urban planning and transportation initiatives during the upcoming summer semester. This role is ideal for a local graduate or undergraduate student with a keen interest in economic development, city planning, and a passion for contributing to the growth of a vibrant downtown community.
Responsibilities/Essential Functions:Support the Planning ","数据分析, 研究能力, 沟通能力, 团队合作, 城市规划和交通规划, 经济开发, 社区振兴, 报告撰写, 数据收集, Microsoft Office Suite, 数据维护, 利益相关者会议参与, 社区参与"
Producer,"Company DescriptionRaw Cereal is a creative design agency specializing in live, interactive, corporate, and installation-based entertainment. Our mission is to push boundaries and create unique and immersive experiences for our clients. We pride ourselves on our end-to-end creative services and cutting-edge use of technology for larger-than-life productions.
Role DescriptionWe're looking for Directors, Producers, Creatives, AI Programmers, 3D Artists, Senior Motion Graphics Artists, Editors, etc","创意设计, 项目管理, 沟通能力, 团队合作, 领导力, AI编程, 3D建模, 动态图形设计, 视频剪辑, 技术应用"
Building Engineer,"Summary: Due to the pending retirement of our building engineer, we are seeking a Building Engineer (BE). The BE is a salaried, overtime-exempt professional with direct responsibility for the physical plant of our historic clubhouse. This hands-on position involves light maintenance tasks, operation of building systems, selection and oversight of outside contractors, and administration of building maintenance records. 
Founded in 1852, the Pacific-Union Club is one of the oldest and most exclusi","HVAC, 蒸汽系统, 燃气系统, 电气系统, 管道系统, 维修工作, 建筑系统操作, 建筑维护记录管理, 项目管理, 监督能力, 紧急响应, 建筑规范知识, 消防喷淋系统, 电梯维护, 灌溉系统, 安全系统, 沟通能力, 组织能力, 时间管理, 领导力, 团队合作, 计算机操作, 文字处理, 电子表格, 电子邮件, 建筑自动化系统, 设备维护, 承包商管理, 培训能力, 应急处理, 建筑法规知识, 工具使用, 设备操作"
Respiratory Therapist,"At Children’s, the region’s only full-service pediatric healthcare center, our people make us the very best for kids. Come cultivate your passion, purpose and professional development in an environment of excellence and inclusion, where team members are supported and deeply valued. Opportunities for career growth abound as we grow our services and spaces, including the cutting-edge Hubbard Center for Children. Join our highly engaged, caring team—and join us in providing brighter, healthier tomo","机械通气操作, 治疗气体管理, 环境控制系统操作, 雾化器操作, 动脉血气分析, 心肺复苏, 呼吸治疗设备维护, 肺功能测试, 沟通能力, 团队合作, 患者教育, 心肺功能评估, 呼吸治疗计划制定, 紧急护理, 临床教学, 呼吸治疗技术, 儿科呼吸治疗, 新生儿呼吸治疗, 基本生命支持, 高级儿科生命支持"
Worship Leader,"It is an exciting time to be a part of our church! We are looking for the right energetic leader to join the mission to make disciples for Jesus in Palm Bay, Florida and beyond.
What type of candidate are we looking for:This best fit for the position will lead our worship team to creatively craft meaningful, inspiring musical worship in our worship experiences. He or she will also shepherd our team, and help disciple them to make disciples.The ideal candidate will invest their lives as a part of","领导力, 团队合作, 沟通能力, 音乐才能, 声乐技巧, 乐器演奏, 现代敬拜音乐创作, 多轨录音, Planning Center Online, ProPresenter, 门徒训练, 团队建设"
